State,GDP 2023-24 (â‚¹ crores)
Andaman and Nicobar Islands,12365
Andhra Pradesh,1439674
Arunachal Pradesh,36373
Assam,570243
Bihar,854429
Chandigarh,60088
Chhattisgarh,505887
Delhi,1107746
Goa,93366
Gujarat,2359882
Haryana,1095535
Himachal Pradesh,207430
Jammu and Kashmir,241133
Jharkhand,461010
Karnataka,2500733
Kerala,1146109
Madhya Pradesh,1363327
Maharashtra,4044251
Manipur,43135
Meghalaya,53057
Mizoram,32906
Nagaland,39863
Odisha,853524
Puducherry,47902
Punjab,744899
Rajasthan,1528385
Sikkim,48937
Tamil Nadu,2721571
Telangana,1501981
Tripura,82625
Uttar Pradesh,2547861
Uttarakhand,346206
West Bengal,1700939
Grand Total,27715394
